Date,Regime
01.01.1959,0
02.01.1959,0
03.01.1959,0
04.01.1959,0
05.01.1959,0
06.01.1959,0
07.01.1959,0
08.01.1959,0
09.01.1959,0
10.01.1959,0
11.01.1959,0
12.01.1959,0
01.01.1960,0
02.01.1960,0
03.01.1960,0
04.01.1960,0
05.01.1960,1
06.01.1960,1
07.01.1960,1
08.01.1960,1
09.01.1960,1
10.01.1960,1
11.01.1960,1
12.01.1960,1
01.01.1961,1
02.01.1961,1
03.01.1961,0
04.01.1961,0
05.01.1961,0
06.01.1961,0
07.01.1961,0
08.01.1961,0
09.01.1961,0
10.01.1961,0
11.01.1961,0
12.01.1961,0
01.01.1962,0
02.01.1962,0
03.01.1962,0
04.01.1962,0
05.01.1962,0
06.01.1962,0
07.01.1962,0
08.01.1962,0
09.01.1962,0
10.01.1962,0
11.01.1962,0
12.01.1962,0
01.01.1963,0
02.01.1963,0
03.01.1963,0
04.01.1963,0
05.01.1963,0
06.01.1963,0
07.01.1963,0
08.01.1963,0
09.01.1963,0
10.01.1963,0
11.01.1963,0
12.01.1963,0
01.01.1964,0
02.01.1964,0
03.01.1964,0
04.01.1964,0
05.01.1964,0
06.01.1964,0
07.01.1964,0
08.01.1964,0
09.01.1964,0
10.01.1964,0
11.01.1964,0
12.01.1964,0
01.01.1965,0
02.01.1965,0
03.01.1965,0
04.01.1965,0
05.01.1965,0
06.01.1965,0
07.01.1965,0
08.01.1965,0
09.01.1965,0
10.01.1965,0
11.01.1965,0
12.01.1965,0
01.01.1966,0
02.01.1966,0
03.01.1966,0
04.01.1966,0
05.01.1966,0
06.01.1966,0
07.01.1966,0
08.01.1966,0
09.01.1966,0
10.01.1966,0
11.01.1966,0
12.01.1966,0
01.01.1967,0
02.01.1967,0
03.01.1967,0
04.01.1967,0
05.01.1967,0
06.01.1967,0
07.01.1967,0
08.01.1967,0
09.01.1967,0
10.01.1967,0
11.01.1967,0
12.01.1967,0
01.01.1968,0
02.01.1968,0
03.01.1968,0
04.01.1968,0
05.01.1968,0
06.01.1968,0
07.01.1968,0
08.01.1968,0
09.01.1968,0
10.01.1968,0
11.01.1968,0
12.01.1968,0
01.01.1969,0
02.01.1969,0
03.01.1969,0
04.01.1969,0
05.01.1969,0
06.01.1969,0
07.01.1969,0
08.01.1969,0
09.01.1969,0
10.01.1969,0
11.01.1969,0
12.01.1969,0
01.01.1970,1
02.01.1970,1
03.01.1970,1
04.01.1970,1
05.01.1970,1
06.01.1970,1
07.01.1970,1
08.01.1970,1
09.01.1970,1
10.01.1970,1
11.01.1970,1
12.01.1970,0
01.01.1971,0
02.01.1971,0
03.01.1971,0
04.01.1971,0
05.01.1971,0
06.01.1971,0
07.01.1971,0
08.01.1971,0
09.01.1971,0
10.01.1971,0
11.01.1971,0
12.01.1971,0
01.01.1972,0
02.01.1972,0
03.01.1972,0
04.01.1972,0
05.01.1972,0
06.01.1972,0
07.01.1972,0
08.01.1972,0
09.01.1972,0
10.01.1972,0
11.01.1972,0
12.01.1972,0
01.01.1973,0
02.01.1973,0
03.01.1973,0
04.01.1973,0
05.01.1973,0
06.01.1973,0
07.01.1973,0
08.01.1973,0
09.01.1973,0
10.01.1973,0
11.01.1973,0
12.01.1973,1
01.01.1974,1
02.01.1974,1
03.01.1974,1
04.01.1974,1
05.01.1974,1
06.01.1974,1
07.01.1974,1
08.01.1974,1
09.01.1974,1
10.01.1974,1
11.01.1974,1
12.01.1974,1
01.01.1975,1
02.01.1975,1
03.01.1975,1
04.01.1975,0
05.01.1975,0
06.01.1975,0
07.01.1975,0
08.01.1975,0
09.01.1975,0
10.01.1975,0
11.01.1975,0
12.01.1975,0
01.01.1976,0
02.01.1976,0
03.01.1976,0
04.01.1976,0
05.01.1976,0
06.01.1976,0
07.01.1976,0
08.01.1976,0
09.01.1976,0
10.01.1976,0
11.01.1976,0
12.01.1976,0
01.01.1977,0
02.01.1977,0
03.01.1977,0
04.01.1977,0
05.01.1977,0
06.01.1977,0
07.01.1977,0
08.01.1977,0
09.01.1977,0
10.01.1977,0
11.01.1977,0
12.01.1977,0
01.01.1978,0
02.01.1978,0
03.01.1978,0
04.01.1978,0
05.01.1978,0
06.01.1978,0
07.01.1978,0
08.01.1978,0
09.01.1978,0
10.01.1978,0
11.01.1978,0
12.01.1978,0
01.01.1979,0
02.01.1979,0
03.01.1979,0
04.01.1979,0
05.01.1979,0
06.01.1979,0
07.01.1979,0
08.01.1979,0
09.01.1979,0
10.01.1979,0
11.01.1979,0
12.01.1979,0
01.01.1980,0
02.01.1980,1
03.01.1980,1
04.01.1980,1
05.01.1980,1
06.01.1980,1
07.01.1980,1
08.01.1980,0
09.01.1980,0
10.01.1980,0
11.01.1980,0
12.01.1980,0
01.01.1981,0
02.01.1981,0
03.01.1981,0
04.01.1981,0
05.01.1981,0
06.01.1981,0
07.01.1981,0
08.01.1981,1
09.01.1981,1
10.01.1981,1
11.01.1981,1
12.01.1981,1
01.01.1982,1
02.01.1982,1
03.01.1982,1
04.01.1982,1
05.01.1982,1
06.01.1982,1
07.01.1982,1
08.01.1982,1
09.01.1982,1
10.01.1982,1
11.01.1982,1
12.01.1982,0
01.01.1983,0
02.01.1983,0
03.01.1983,0
04.01.1983,0
05.01.1983,0
06.01.1983,0
07.01.1983,0
08.01.1983,0
09.01.1983,0
10.01.1983,0
11.01.1983,0
12.01.1983,0
01.01.1984,0
02.01.1984,0
03.01.1984,0
04.01.1984,0
05.01.1984,0
06.01.1984,0
07.01.1984,0
08.01.1984,0
09.01.1984,0
10.01.1984,0
11.01.1984,0
12.01.1984,0
01.01.1985,0
02.01.1985,0
03.01.1985,0
04.01.1985,0
05.01.1985,0
06.01.1985,0
07.01.1985,0
08.01.1985,0
09.01.1985,0
10.01.1985,0
11.01.1985,0
12.01.1985,0
01.01.1986,0
02.01.1986,0
03.01.1986,0
04.01.1986,0
05.01.1986,0
06.01.1986,0
07.01.1986,0
08.01.1986,0
09.01.1986,0
10.01.1986,0
11.01.1986,0
12.01.1986,0
01.01.1987,0
02.01.1987,0
03.01.1987,0
04.01.1987,0
05.01.1987,0
06.01.1987,0
07.01.1987,0
08.01.1987,0
09.01.1987,0
10.01.1987,0
11.01.1987,0
12.01.1987,0
01.01.1988,0
02.01.1988,0
03.01.1988,0
04.01.1988,0
05.01.1988,0
06.01.1988,0
07.01.1988,0
08.01.1988,0
09.01.1988,0
10.01.1988,0
11.01.1988,0
12.01.1988,0
01.01.1989,0
02.01.1989,0
03.01.1989,0
04.01.1989,0
05.01.1989,0
06.01.1989,0
07.01.1989,0
08.01.1989,0
09.01.1989,0
10.01.1989,0
11.01.1989,0
12.01.1989,0
01.01.1990,0
02.01.1990,0
03.01.1990,0
04.01.1990,0
05.01.1990,0
06.01.1990,0
07.01.1990,0
08.01.1990,1
09.01.1990,1
10.01.1990,1
11.01.1990,1
12.01.1990,1
01.01.1991,1
02.01.1991,1
03.01.1991,1
04.01.1991,0
05.01.1991,0
06.01.1991,0
07.01.1991,0
08.01.1991,0
09.01.1991,0
10.01.1991,0
11.01.1991,0
12.01.1991,0
01.01.1992,0
02.01.1992,0
03.01.1992,0
04.01.1992,0
05.01.1992,0
06.01.1992,0
07.01.1992,0
08.01.1992,0
09.01.1992,0
10.01.1992,0
11.01.1992,0
12.01.1992,0
01.01.1993,0
02.01.1993,0
03.01.1993,0
04.01.1993,0
05.01.1993,0
06.01.1993,0
07.01.1993,0
08.01.1993,0
09.01.1993,0
10.01.1993,0
11.01.1993,0
12.01.1993,0
01.01.1994,0
02.01.1994,0
03.01.1994,0
04.01.1994,0
05.01.1994,0
06.01.1994,0
07.01.1994,0
08.01.1994,0
09.01.1994,0
10.01.1994,0
11.01.1994,0
12.01.1994,0
01.01.1995,0
02.01.1995,0
03.01.1995,0
04.01.1995,0
05.01.1995,0
06.01.1995,0
07.01.1995,0
08.01.1995,0
09.01.1995,0
10.01.1995,0
11.01.1995,0
12.01.1995,0
01.01.1996,0
02.01.1996,0
03.01.1996,0
04.01.1996,0
05.01.1996,0
06.01.1996,0
07.01.1996,0
08.01.1996,0
09.01.1996,0
10.01.1996,0
11.01.1996,0
12.01.1996,0
01.01.1997,0
02.01.1997,0
03.01.1997,0
04.01.1997,0
05.01.1997,0
06.01.1997,0
07.01.1997,0
08.01.1997,0
09.01.1997,0
10.01.1997,0
11.01.1997,0
12.01.1997,0
01.01.1998,0
02.01.1998,0
03.01.1998,0
04.01.1998,0
05.01.1998,0
06.01.1998,0
07.01.1998,0
08.01.1998,0
09.01.1998,0
10.01.1998,0
11.01.1998,0
12.01.1998,0
01.01.1999,0
02.01.1999,0
03.01.1999,0
04.01.1999,0
05.01.1999,0
06.01.1999,0
07.01.1999,0
08.01.1999,0
09.01.1999,0
10.01.1999,0
11.01.1999,0
12.01.1999,0
01.01.2000,0
02.01.2000,0
03.01.2000,0
04.01.2000,0
05.01.2000,0
06.01.2000,0
07.01.2000,0
08.01.2000,0
09.01.2000,0
10.01.2000,0
11.01.2000,0
12.01.2000,0
01.01.2001,0
02.01.2001,0
03.01.2001,0
04.01.2001,0
05.01.2001,1
06.01.2001,1
07.01.2001,1
08.01.2001,1
09.01.2001,1
10.01.2001,1
11.01.2001,1
12.01.2001,0
01.01.2002,0
02.01.2002,0
03.01.2002,0
04.01.2002,0
05.01.2002,0
06.01.2002,0
07.01.2002,0
08.01.2002,0
09.01.2002,0
10.01.2002,0
11.01.2002,0
12.01.2002,0
01.01.2003,0
02.01.2003,0
03.01.2003,0
04.01.2003,0
05.01.2003,0
06.01.2003,0
07.01.2003,0
08.01.2003,0
09.01.2003,0
10.01.2003,0
11.01.2003,0
12.01.2003,0
01.01.2004,0
02.01.2004,0
03.01.2004,0
04.01.2004,0
05.01.2004,0
06.01.2004,0
07.01.2004,0
08.01.2004,0
09.01.2004,0
10.01.2004,0
11.01.2004,0
12.01.2004,0
01.01.2005,0
02.01.2005,0
03.01.2005,0
04.01.2005,0
05.01.2005,0
06.01.2005,0
07.01.2005,0
08.01.2005,0
09.01.2005,0
10.01.2005,0
11.01.2005,0
12.01.2005,0
01.01.2006,0
02.01.2006,0
03.01.2006,0
04.01.2006,0
05.01.2006,0
06.01.2006,0
07.01.2006,0
08.01.2006,0
09.01.2006,0
10.01.2006,0
11.01.2006,0
12.01.2006,0
01.01.2007,0
02.01.2007,0
03.01.2007,0
04.01.2007,0
05.01.2007,0
06.01.2007,0
07.01.2007,0
08.01.2007,0
09.01.2007,0
10.01.2007,0
11.01.2007,0
12.01.2007,0
01.01.2008,1
02.01.2008,1
03.01.2008,1
04.01.2008,1
05.01.2008,1
06.01.2008,1
07.01.2008,1
08.01.2008,1
09.01.2008,1
10.01.2008,1
11.01.2008,1
12.01.2008,1
01.01.2009,1
02.01.2009,1
03.01.2009,1
04.01.2009,1
05.01.2009,1
06.01.2009,1
07.01.2009,0
08.01.2009,0
09.01.2009,0
10.01.2009,0
11.01.2009,0
12.01.2009,0
01.01.2010,0
02.01.2010,0
03.01.2010,0
04.01.2010,0
05.01.2010,0
06.01.2010,0
07.01.2010,0
08.01.2010,0
09.01.2010,0
10.01.2010,0
11.01.2010,0
12.01.2010,0
01.01.2011,0
02.01.2011,0
03.01.2011,0
04.01.2011,0
05.01.2011,0
06.01.2011,0
07.01.2011,0
08.01.2011,0
09.01.2011,0
10.01.2011,0
11.01.2011,0
12.01.2011,0
01.01.2012,0
02.01.2012,0
03.01.2012,0
04.01.2012,0
05.01.2012,0
06.01.2012,0
07.01.2012,0
08.01.2012,0
09.01.2012,0
10.01.2012,0
11.01.2012,0
12.01.2012,0
01.01.2013,0
02.01.2013,0
03.01.2013,0
04.01.2013,0
05.01.2013,0
06.01.2013,0
07.01.2013,0
08.01.2013,0
09.01.2013,0
10.01.2013,0
11.01.2013,0
12.01.2013,0
01.01.2014,0
02.01.2014,0
03.01.2014,0
04.01.2014,0
05.01.2014,0
06.01.2014,0
07.01.2014,0
08.01.2014,0
09.01.2014,0
10.01.2014,0
11.01.2014,0
12.01.2014,0
01.01.2015,0
02.01.2015,0
03.01.2015,0
04.01.2015,0
05.01.2015,0
06.01.2015,0
07.01.2015,0
08.01.2015,0
09.01.2015,0
10.01.2015,0
11.01.2015,0
12.01.2015,0
01.01.2016,0
02.01.2016,0
03.01.2016,0
04.01.2016,0
05.01.2016,0
06.01.2016,0
07.01.2016,0
08.01.2016,0
09.01.2016,0
10.01.2016,0
11.01.2016,0
12.01.2016,0
01.01.2017,0
02.01.2017,0
03.01.2017,0
04.01.2017,0
05.01.2017,0
06.01.2017,0
07.01.2017,0
08.01.2017,0
09.01.2017,0
10.01.2017,0
11.01.2017,0
12.01.2017,0
01.01.2018,0
02.01.2018,0
03.01.2018,0
04.01.2018,0
05.01.2018,0
06.01.2018,0
07.01.2018,0
08.01.2018,0
09.01.2018,0
10.01.2018,0
11.01.2018,0
12.01.2018,0
01.01.2019,0
02.01.2019,0
03.01.2019,0
04.01.2019,0
05.01.2019,0
06.01.2019,0
07.01.2019,0
08.01.2019,0
09.01.2019,0
10.01.2019,0
11.01.2019,0
12.01.2019,0
01.01.2020,0
02.01.2020,1
03.01.2020,1
04.01.2020,1
05.01.2020,0
06.01.2020,0
07.01.2020,0
08.01.2020,0
09.01.2020,0
10.01.2020,0
11.01.2020,0
12.01.2020,0
01.01.2021,0
02.01.2021,0
03.01.2021,0
04.01.2021,0
05.01.2021,0
06.01.2021,0
07.01.2021,0
08.01.2021,0
09.01.2021,0
10.01.2021,0
11.01.2021,0
12.01.2021,0
